category,repo_or_local_path,modified,size_bytes,role,source_of_truth,note
Historical research workspace,local-research://scripts/launch-riskdesk.mjs,2026-06-22 07:26,415,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/serve-riskdesk.mjs,2026-06-22 07:12,1051,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/validate-riskdesk.mjs,2026-06-26 01:42,2246,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical staging archive,local-api://direct-deploy-stage-20260805-090436,2026-08-05 09:04,14915152,Historical deployment or repair snapshot,Archive only; do not use as current source,"9 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://direct-function-stage-20260805-090436,2026-08-05 09:04,26664400,Historical deployment or repair snapshot,Archive only; do not use as current source,"36 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://direct-function-stage-fixed-20260805-090557,2026-08-05 09:06,26664400,Historical deployment or repair snapshot,Archive only; do not use as current source,"36 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://direct-function-stage-fixed2-20260805-090630,2026-08-05 09:06,27824550,Historical deployment or repair snapshot,Archive only; do not use as current source,"166 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://factor-attribution-fix-stage-1785898075896,2026-08-05 10:47,2947765,Historical deployment or repair snapshot,Archive only; do not use as current source,"2 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://netlify-deploy-stage-20260804-175950,2026-08-04 17:59,14948220,Historical deployment or repair snapshot,Archive only; do not use as current source,"22 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://signal-fix-stage-20260805-095402,2026-08-05 09:54,14915426,Historical deployment or repair snapshot,Archive only; do not use as current source,"9 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://signal-ledger-fallback-stage-20260805-100327,2026-08-05 10:03,14917451,Historical deployment or repair snapshot,Archive only; do not use as current source,"9 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://signal-meta-fix-stage-20260805-101808,2026-08-05 10:18,14918455,Historical deployment or repair snapshot,Archive only; do not use as current source,"9 files; retained for audit, not for handover duplication"
Historical staging archive,local-api://work,2026-07-31 14:21,66493856,Historical deployment or repair snapshot,Archive only; do not use as current source,"62 files; retained for audit, not for handover duplication"
Local deployment archive,local-api://outputs/global-500-universe.json,2026-07-15 02:41,90984,"Generated website, deployment note, or packaged artifact",Local API work area,Generated copy; GitHub repository is the canonical code source
Local deployment archive,local-api://outputs/RiskDesk_EODHD_Long_History_Upgrade_Record.docx,2026-07-26 12:26,41157,"Generated website, deployment note, or packaged artifact",Local API work area,Generated copy; GitHub repository is the canonical code source
Local deployment archive,local-api://outputs/RiskDesk_Global500_Impact_V35_V4.docx,2026-07-15 04:27,42289,"Generated website, deployment note, or packaged artifact",Local API work area,Generated copy; GitHub repository is the canonical code source
Local deployment archive,local-api://outputs/RiskDesk_Strategy_Backtest_Paper_Record_GoogleDocs.docx,2026-07-08 03:12,42382,"Generated website, deployment note, or packaged artifact",Local API work area,Generated copy; GitHub repository is the canonical code source
Local deployment archive,local-api://outputs/RiskDesk_V4_vs_V35_All_15_Strategy_Record.docx,2026-07-14 07:17,38921,"Generated website, deployment note, or packaged artifact",Local API work area,Generated copy; GitHub repository is the canonical code source
Local deployment archive,local-api://outputs/RiskDesk_V4_vs_V35_Strategy_Factor_Comparison_for_Paper.docx,2026-07-14 07:37,43030,"Generated website, deployment note, or packaged artifact",Local API work area,Generated copy; GitHub repository is the canonical code source
Local experiment archive,local-api://2026-08-04-existing-ledger-hit-rate.json,2026-08-04 16:19,19688,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-04-existing-ledger-hit-rate.md,2026-08-04 16:19,5426,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-04-proposed-v5-replay-existing-ledger.json,2026-08-04 16:24,671331,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-04-proposed-v5-replay-existing-ledger.md,2026-08-04 16:24,1717,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-04-v5c-public-replay-existing-ledger.json,2026-08-04 17:12,671384,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-04-v5c-public-replay-existing-ledger.md,2026-08-04 17:12,1717,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-s8-v5-replay-online-current-ledger.json,2026-08-10 09:30,2203,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-s8-v5-replay-online-current-ledger.md,2026-08-10 09:30,885,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-all-strategy-small-sample.json,2026-08-10 09:18,26716,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-all-strategy-small-sample.md,2026-08-10 09:18,7767,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-overlay-th055.json,2026-08-10 14:40,25288,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-overlay-th055.md,2026-08-10 14:40,7336,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-overlay-th065.json,2026-08-10 14:40,25277,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-overlay-th065.md,2026-08-10 14:40,7332,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-overlay-th075.json,2026-08-10 14:40,23513,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-overlay-th075.md,2026-08-10 14:40,6836,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-350-round2.json,2026-08-10 09:27,25226,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-350-round2.md,2026-08-10 09:27,7307,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-iter1-predaware.json,2026-08-10 09:34,25287,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-iter1-predaware.md,2026-08-10 09:34,7335,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-iter2-accuracyweighted.json,2026-08-10 09:36,25287,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-iter2-accuracyweighted.md,2026-08-10 09:36,7335,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-iter3-relaxedturnover.json,2026-08-10 09:37,25299,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-other-strategies-iter3-relaxedturnover.md,2026-08-10 09:37,7358,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-s8-500-full-conservative.json,2026-08-10 09:25,2251,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-s8-500-full-conservative.md,2026-08-10 09:25,881,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-s8-s11-s12-350-conservative.json,2026-08-10 09:21,5839,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-s8-s11-s12-350-conservative.md,2026-08-10 09:21,1895,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-s8-s11-s12-350-sample.json,2026-08-10 09:20,5826,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5-s8-s11-s12-350-sample.md,2026-08-10 09:20,1890,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5c-small-sample-replay-existing-ledger.json,2026-08-10 09:12,671384,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-10-v5c-small-sample-replay-existing-ledger.md,2026-08-10 09:12,1717,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-all-strategies-summary.json,2026-08-11 10:31,25482,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-all-strategies-summary.md,2026-08-11 10:31,1541,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-s12-pilot.json,2026-08-11 10:27,2141,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-s12-pilot.md,2026-08-11 10:27,821,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-s3-pilot.json,2026-08-11 10:27,2134,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-s3-pilot.md,2026-08-11 10:27,813,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-s8-pilot.json,2026-08-11 10:26,2142,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-s8-pilot.md,2026-08-11 10:26,814,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-v2-pilot.json,2026-08-11 10:27,2123,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://2026-08-11-genai-research-v2-pilot.md,2026-08-11 10:27,802,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://analyze-live-ledger.ps1,2026-07-19 21:38,2146,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://analyze_existing_prediction_ledger.mjs,2026-08-04 16:18,8520,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://build_handover_package.py,2026-08-18 11:26,35030,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://build_paper_record_doc.py,2026-07-08 02:58,12894,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://build_research_phase_doc.py,2026-08-04 09:27,17766,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://build_riskdesk_upgrade_doc.py,2026-07-26 12:26,12740,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://build_strategy_backtest_paper_doc.py,2026-07-08 03:12,12791,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-eodhd-and-panels.ps1,2026-07-22 18:27,1311,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-ledger-days.ps1,2026-07-21 08:52,2699,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-live-automation-status.ps1,2026-07-27 09:05,182,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-live-deployed-eodhd.ps1,2026-07-26 10:31,462,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-live-eodhd-status.ps1,2026-07-22 20:38,589,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-live-riskdesk-status.ps1,2026-07-19 21:11,1588,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check-upgrade-deploy.ps1,2026-07-22 12:40,1040,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://check_2026_07_20_ledger_counts.mjs,2026-08-04 17:35,1277,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://confidence-check-result.json,2026-08-03 16:26,7366,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://embed-riskdesk-data.mjs,2026-07-24 19:21,2280,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://eodhd-history.js,2026-07-22 11:56,2687,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://genai_research_signal_pilot.mjs,2026-08-11 10:25,7036,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://inspect-embedded-riskdesk.mjs,2026-07-24 19:16,1513,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://inspect_backtests.py,2026-07-08 03:11,1037,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://ledger-coverage-from-2026-07-10.json,2026-08-04 17:29,18521,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://ledger-coverage-from-2026-07-10.md,2026-08-04 17:29,4802,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://ledger-raw.json,2026-08-03 16:25,1343488,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://online-automation-status-node-1785835687007.json,2026-08-04 17:28,1579,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://online-ledger-before-v45-fix.json,2026-08-14 11:32,1510242,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://online-ledger-current-2026-08-10.json,2026-08-10 09:30,4625868,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://online-ledger-node-1785835685893.json,2026-08-04 17:28,1400727,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://package.json,2026-07-07 07:17,230,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://recover_all_prediction_records.mjs,2026-08-04 17:37,7715,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://recovered-real-prediction-ledger-summary.md,2026-08-04 17:38,5064,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://recovered-real-prediction-ledger.json,2026-08-04 17:38,2649054,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://replay_proposed_v5_on_existing_ledger.mjs,2026-08-04 17:08,13013,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://riskdesk-server.js,2026-07-07 01:42,11369,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://RiskDesk_System_Evolution_and_V5_Roadmap.docx,2026-08-04 09:27,41828,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://scripts-fetch-eodhd-snapshot.mjs,2026-07-23 21:59,8901,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://set-netlify-eodhd-env.ps1,2026-07-27 09:13,1601,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://slim-riskdesk-backtest-files.mjs,2026-07-24 22:20,1078,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://small-sample-ml-forecast-benchmark-2026-08-05.json,2026-08-05 09:30,55711,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://small-sample-ml-forecast-benchmark-2026-08-05.md,2026-08-05 09:30,2251,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://small-sample-ml-forecast-benchmark.mjs,2026-08-05 09:28,10810,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://start-riskdesk-realtime.ps1,2026-07-07 01:42,364,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://strategy-desk-full-holdings-deploy-20260804-175950.zip,2026-08-04 17:59,2200627,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://summarize_ledger_from_2026_07_10.mjs,2026-08-04 17:28,4729,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://test-eodhd-api.ps1,2026-07-22 22:02,475,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://train_v5_confidence_pilot.mjs,2026-08-04 10:33,15290,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://train_v5_factor_parameters.mjs,2026-08-04 17:08,25803,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://upgrade-research-feedback-ui.mjs,2026-07-22 11:53,23982,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-confidence-backtest-pilot.json,2026-08-03 16:32,12274,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-confidence-backtest-pilot.mjs,2026-08-03 16:32,9402,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-confidence-training-pilot-2026-08-04.json,2026-08-04 10:11,71529,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-confidence-training-pilot-2026-08-04.md,2026-08-04 10:11,2359,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-180-five-strategies.json,2026-08-04 11:03,14547,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-180-five-strategies.md,2026-08-04 11:03,3381,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-proposed-v5-180-five-strategies.json,2026-08-04 16:10,14613,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-proposed-v5-180-five-strategies.md,2026-08-04 16:10,3393,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-s5-full-balanced.json,2026-08-04 11:08,3870,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-s5-full-balanced.md,2026-08-04 11:08,1475,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-s5-full.json,2026-08-04 10:59,3841,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-s5-full.md,2026-08-04 10:59,1475,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-v5c-public-180-all-proposed.json,2026-08-04 17:11,14642,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04-v5c-public-180-all-proposed.md,2026-08-04 17:11,3383,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04.json,2026-08-04 10:57,3850,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-04.md,2026-08-04 10:57,1474,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-10-small-sample-180-five-strategies.json,2026-08-10 09:12,14642,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5-factor-parameter-training-2026-08-10-small-sample-180-five-strategies.md,2026-08-10 09:12,3383,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
Local experiment archive,local-api://v5_all_strategy_small_sample.mjs,2026-08-10 14:38,28923,"Experiment result, recovered ledger, script, or generated document",Local API work area,Top-level artifact; inspect before sharing
